num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;     69;  0.3050;  100.0;  100.0;  7.00e-07;
         1;  0.0000;   3;      6;  0.0500;  100.0;  100.0;  1.02e-09;
         1;  0.0000;   7;     10;  0.1370;   46.8;   53.6;       NaN;
         1;  0.0100;   1;     60;  0.1730;  100.0;  100.0;  2.76e-02;
         1;  0.0100;   3;     41;  0.2110;  100.0;  100.0;  2.76e-02;
         1;  0.0100;   7;     10;  0.1550;   46.8;   53.6;       NaN;
         1;  0.1000;   1;     23;  0.1190;  100.0;  100.0;  9.71e-02;
         1;  0.1000;   3;     18;  0.1070;  100.0;  100.0;  9.71e-02;
         1;  0.1000;   7;     10;  0.1740;   46.8;   53.6;       NaN;
         2;  0.0000;   1;    568;  1.3920;  100.0;   99.2;  1.72e-06;
         2;  0.0000;   3;     26;  0.0980;  100.0;   99.2;  2.99e-09;
         2;  0.0000;   7;     10;  0.1490;   50.0;   51.6;       NaN;
         2;  0.0100;   1;    104;  0.2580;   99.6;   99.2;  5.15e-02;
         2;  0.0100;   3;     42;  0.1530;   99.6;   99.2;  5.15e-02;
         2;  0.0100;   7;     10;  0.1390;   50.0;   51.6;       NaN;
         2;  0.1000;   1;     36;  0.1350;   95.2;   95.6;  1.31e-01;
         2;  0.1000;   3;     18;  0.0970;   95.2;   95.6;  1.31e-01;
         2;  0.1000;   7;     10;  0.1350;   50.0;   51.6;       NaN;
         3;  0.0000;   1;   1000;  2.2110;  100.0;   96.0;  8.99e-04;
         3;  0.0000;   3;     63;  0.2060;  100.0;   98.0;  1.83e-27;
         3;  0.0000;   7;     10;  0.1380;   48.4;   54.8;       NaN;
         3;  0.0100;   1;    194;  0.4280;   98.0;   98.0;  6.84e-02;
         3;  0.0100;   3;     45;  0.1670;   98.0;   98.0;  6.84e-02;
         3;  0.0100;   7;     10;  0.1680;   48.4;   54.8;       NaN;
         3;  0.1000;   1;     47;  0.1310;   97.2;   96.8;  1.62e-01;
         3;  0.1000;   3;     20;  0.0860;   97.2;   96.8;  1.62e-01;
         3;  0.1000;   7;     10;  0.1300;   48.4;   54.8;       NaN;
         4;  0.0000;   1;     69;  0.1540;  100.0;  100.0;  5.89e-07;
         4;  0.0000;   3;      6;  0.0400;  100.0;  100.0;  3.31e-26;
         4;  0.0000;   7;     10;  0.1460;   47.6;   56.0;       NaN;
         4;  0.0100;   1;     48;  0.1290;  100.0;  100.0;  2.63e-02;
         4;  0.0100;   3;     43;  0.1790;  100.0;  100.0;  2.63e-02;
         4;  0.0100;   7;     10;  0.1510;   47.6;   56.0;       NaN;
         4;  0.1000;   1;     32;  0.1050;  100.0;  100.0;  9.23e-02;
         4;  0.1000;   3;     18;  0.0850;  100.0;  100.0;  9.23e-02;
         4;  0.1000;   7;     10;  0.1450;   47.6;   56.0;       NaN;
         5;  0.0000;   1;    185;  0.4090;  100.0;  100.0;  7.57e-07;
         5;  0.0000;   3;      7;  0.0350;  100.0;  100.0;  1.96e-12;
         5;  0.0000;   7;     10;  0.1460;   49.2;   53.2;       NaN;
         5;  0.0100;   1;     79;  0.2430;  100.0;  100.0;  3.39e-02;
         5;  0.0100;   3;     38;  0.1620;  100.0;  100.0;  3.39e-02;
         5;  0.0100;   7;     10;  0.1520;   49.2;   53.2;       NaN;
         5;  0.1000;   1;     30;  0.1030;   99.6;  100.0;  1.12e-01;
         5;  0.1000;   3;     19;  0.0900;   99.6;  100.0;  1.12e-01;
         5;  0.1000;   7;     10;  0.1390;   49.2;   53.2;       NaN;
         6;  0.0000;   1;    999;  2.1780;  100.0;   98.4;  1.57e-06;
         6;  0.0000;   3;     20;  0.0810;  100.0;   99.2;  9.05e-08;
         6;  0.0000;   7;     10;  0.1410;   47.6;   55.6;       NaN;
         6;  0.0100;   1;    129;  0.3190;   99.6;  100.0;  4.52e-02;
         6;  0.0100;   3;     41;  0.1600;   99.6;  100.0;  4.52e-02;
         6;  0.0100;   7;     10;  0.1420;   47.6;   55.6;       NaN;
         6;  0.1000;   1;     60;  0.1490;   98.8;   99.6;  1.28e-01;
         6;  0.1000;   3;     19;  0.0830;   98.8;   99.6;  1.28e-01;
         6;  0.1000;   7;     10;  0.1380;   47.6;   55.6;       NaN;
         7;  0.0000;   1;    163;  0.4740;  100.0;   99.6;  8.03e-07;
         7;  0.0000;   3;      8;  0.0530;  100.0;   99.6;  1.98e-202;
         7;  0.0000;   7;     10;  0.1550;   48.0;   53.2;       NaN;
         7;  0.0100;   1;     66;  0.1800;  100.0;  100.0;  3.21e-02;
         7;  0.0100;   3;     39;  0.1570;  100.0;  100.0;  3.21e-02;
         7;  0.0100;   7;     10;  0.1460;   48.0;   53.2;       NaN;
         7;  0.1000;   1;     21;  0.0830;  100.0;  100.0;  1.05e-01;
         7;  0.1000;   3;     18;  0.0880;  100.0;  100.0;  1.05e-01;
         7;  0.1000;   7;     10;  0.1430;   48.0;   53.2;       NaN;
         8;  0.0000;   1;   1000;  2.4350;   99.6;   96.0;  7.08e-03;
         8;  0.0000;   3;     77;  0.2860;   98.4;   95.2;  1.60e-02;
         8;  0.0000;   7;     10;  0.1290;   45.2;   52.0;       NaN;
         8;  0.0100;   1;    302;  0.6780;   95.6;   96.0;  9.09e-02;
         8;  0.0100;   3;     44;  0.2130;   95.6;   96.0;  9.09e-02;
         8;  0.0100;   7;     10;  0.1480;   45.2;   52.0;       NaN;
         8;  0.1000;   1;     51;  0.1540;   87.6;   88.8;  1.76e-01;
         8;  0.1000;   3;     20;  0.0970;   87.6;   88.8;  1.76e-01;
         8;  0.1000;   7;     10;  0.1550;   45.2;   52.0;       NaN;
         9;  0.0000;   1;   1000;  2.2730;  100.0;   97.6;  2.55e-04;
         9;  0.0000;   3;     25;  0.0920;   99.6;   99.2;  4.00e-03;
         9;  0.0000;   7;     10;  0.1380;   48.8;   52.4;       NaN;
         9;  0.0100;   1;    186;  0.4590;   99.6;   99.2;  6.09e-02;
         9;  0.0100;   3;     42;  0.1520;   99.6;   99.2;  6.09e-02;
         9;  0.0100;   7;     10;  0.1340;   48.8;   52.4;       NaN;
         9;  0.1000;   1;     47;  0.1310;   98.0;   96.8;  1.55e-01;
         9;  0.1000;   3;     18;  0.0920;   98.0;   96.8;  1.55e-01;
         9;  0.1000;   7;     10;  0.1360;   48.8;   52.4;       NaN;
         0;  0.0000;   1;    387;  0.8990;  100.0;   99.2;  1.16e-06;
         0;  0.0000;   3;      9;  0.0510;  100.0;   99.2;  1.56e-36;
         0;  0.0000;   7;     10;  0.1350;   46.4;   53.2;       NaN;
         0;  0.0100;   1;    157;  0.3940;  100.0;   99.2;  5.13e-02;
         0;  0.0100;   3;     37;  0.1450;  100.0;   99.2;  5.13e-02;
         0;  0.0100;   7;     10;  0.1360;   46.4;   53.2;       NaN;
         0;  0.1000;   1;     47;  0.1260;   99.6;   99.2;  1.45e-01;
         0;  0.1000;   3;     22;  0.0940;   99.6;   99.2;  1.45e-01;
         0;  0.1000;   7;     10;  0.1400;   46.4;   53.2;       NaN;
