num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0100;   3;     36;  8.5570;   99.9;   99.9;  2.11e-02;
         2;  0.0100;   3;     39;  8.3420;   99.1;   99.3;  4.00e-02;
         3;  0.0100;   3;     48;  9.8030;   97.9;   97.8;  5.16e-02;
         4;  0.0100;   3;     40;  8.6230;   99.9;   99.9;  2.24e-02;
         5;  0.0100;   3;     41;  8.5090;   99.7;   99.8;  2.98e-02;
         6;  0.0100;   3;     40;  8.4670;   99.4;   99.6;  3.63e-02;
         7;  0.0100;   3;     35;  7.5310;   99.8;   99.7;  2.51e-02;
         8;  0.0100;   3;     43;  8.9520;   97.0;   96.5;  6.18e-02;
         9;  0.0100;   3;     47;  9.8430;   98.3;   98.0;  5.01e-02;
         0;  0.0100;   3;     65; 12.6440;   98.8;   99.0;  4.26e-02;
