num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;    351; 48.2790;  100.0;  100.0;  2.44e-06;
         2;  0.0000;   1;   1000; 131.1760;   99.7;   99.4;  2.81e-03;
         3;  0.0000;   1;   1000; 135.6680;   99.3;   99.0;  6.33e-03;
         4;  0.0000;   1;    639; 89.1420;  100.0;  100.0;  2.26e-06;
         5;  0.0000;   1;   1000; 139.3320;  100.0;  100.0;  3.64e-04;
         6;  0.0000;   1;   1000; 139.0470;   99.9;   99.7;  1.06e-03;
         7;  0.0000;   1;   1000; 138.1930;  100.0;  100.0;  1.81e-04;
         8;  0.0000;   1;   1000; 140.9010;   98.6;   97.9;  1.20e-02;
         9;  0.0000;   1;   1000; 139.9930;   99.2;   99.0;  5.88e-03;
         0;  0.0000;   1;   1000; 138.6220;   99.7;   99.3;  2.79e-03;
