num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0100;   7;     11; 22.8480;   99.9;   99.8;  2.11e-02;
         2;  0.0100;   7;     11; 21.8110;   99.1;   99.3;  4.00e-02;
         3;  0.0100;   7;     21; 41.7360;   97.9;   97.8;  5.16e-02;
         4;  0.0100;   7;     12; 24.0500;   99.9;   99.9;  2.24e-02;
         5;  0.0100;   7;     11; 21.9060;   99.7;   99.8;  2.98e-02;
         6;  0.0100;   7;     21; 41.3110;   99.4;   99.6;  3.63e-02;
         7;  0.0100;   7;     11; 22.1500;   99.8;   99.7;  2.51e-02;
         8;  0.0100;   7;     13; 25.8050;   97.0;   96.5;  6.18e-02;
         9;  0.0100;   7;     11; 22.0540;   98.3;   98.0;  5.01e-02;
         0;  0.0100;   7;     11; 22.0040;   98.8;   99.0;  4.26e-02;
